feasible_rate,flip_rate,avg_abs_amt,avg_abs_dur,avg_p_after,gap_avg_abs_amt_eligible,worst_group,best_group,mean_w_credit_amount,mean_w_duration,mean_w_check_step,mean_w_save_step,iter,file,duration_max_decrease,credit_max_rel_decrease
1.0,1.0,1807.741573033708,2.3707865168539324,0.5064117395833602,2086.4583333333335,41-60,le25,1.0,1.0,0.25,0.25,0,german_autofcar_age_bucket_it0_d48_c0.80.csv,48,0.8
1.0,1.0,1036.5393258426966,3.337078651685393,0.5111716097650476,1404.0213178294575,26-40,41-60,1.1348314606741574,1.0269662921348315,0.22303370786516855,0.22303370786516855,1,german_autofcar_age_bucket_it1_d48_c0.80.csv,48,0.8
1.0,1.0,324.85393258426967,3.662921348314605,0.5168216613288903,842.4186046511628,le25,26-40,1.3764044943820224,1.0752808988764044,0.17471910112359548,0.17471910112359548,2,german_autofcar_age_bucket_it2_d48_c0.80.csv,48,0.8
1.0,1.0,124.82022471910112,3.955056179775279,0.5178862760650537,116.73333333333335,41-60,le25,1.4887640449438202,1.0977528089887638,0.15224719101123593,0.15224719101123593,3,german_autofcar_age_bucket_it3_d48_c0.80.csv,48,0.8
