dataset,accuracy,f1,roc_auc,pred_pos_rate,max sel_gap,max sel_gap attr,max tpr_gap,max tpr_gap attr,max fpr_gap,max fpr_gap attr,AGE_bucket fpr_gap,AGE_bucket sel_gap,AGE_bucket tpr_gap,SEX fpr_gap,SEX sel_gap,SEX tpr_gap,age_bucket fpr_gap,age_bucket sel_gap,age_bucket tpr_gap,race fpr_gap,race sel_gap,race tpr_gap,sex fpr_gap,sex sel_gap,sex tpr_gap
adult,0.8054036134593071,0.6785323110624315,0.9020743621173388,0.3563732802917288,0.3117151171511715,sex,0.36363636363636365,race,0.21065454798931066,sex,,,,,,,,,,0.16318724503162543,0.27576268090202366,0.36363636363636365,0.21065454798931066,0.3117151171511715,0.1455440057767553
default_credit,0.6803333333333333,0.4621424565339316,0.7080323705372831,0.37316666666666665,0.23146270002253777,AGE_bucket,0.11224489795918369,AGE_bucket,0.29321840949747924,AGE_bucket,0.29321840949747924,0.23146270002253777,0.11224489795918369,0.13492670864827208,0.13166742185847535,0.0915513606344508,,,,,,,,,
german,0.675,0.7410358565737052,0.7602380952380953,0.555,0.23809523809523808,age_bucket,0.27631578947368424,age_bucket,0.2619047619047619,age_bucket,,,,,,,0.2619047619047619,0.23809523809523808,0.27631578947368424,,,,0.07499999999999996,0.05476190476190468,0.08999999999999997
